ID,URL,Idioma,Modelo,Metodo,Puntuacion,Resumen
921599,https://youtu.be/_TGWTlDjl6Q?si=aR8o6YlJvzMCZjns,es,google-t5/t5-base,Extractive,5,"""philosophia for Second ofi-Bachillier"" is a video devoted to the 19th century. in it, he criticizes the Platonic-Christian idea of the human and propositions in the idea of the super-man. he proposes a false scholarship that directs the human to the objective of a more-a-ya that does not exist. but for Nietzsche, the reality is pure of the veneer."
921599,https://youtu.be/_TGWTlDjl6Q?si=aR8o6YlJvzMCZjns,es,google-t5/t5-base,Recursive,4,"david frum: in this video, you explore the Pension Philosophic of Nietzsche. he says the human is post-Christian, no true in God, nor anything that is to be their own moral. frum: the moral of the deviles, of the oppressed, do not po-diol the values of the life. the video is divided in various chapters and in the box description, you can select the chapter that more you interest to learn."
921599,https://youtu.be/_TGWTlDjl6Q?si=aR8o6YlJvzMCZjns,es,google-t5/t5-base,Original,3,"in this video, you explore the Pension Philosophic of Nietzsche. the video is divided in various chapters and in the box description, you can select the chapter that more you interest to learn. many thousanders started to put in doubt the positivism, Had also the dehumanization. in this epoch, we have to d'estak a series of factors that influenced in their thousandphilosophic, from the factor of the industrialization."
921599,https://youtu.be/_TGWTlDjl6Q?si=aR8o6YlJvzMCZjns,es,google-t5/t5-base,Extractive Recursive,3,"john sutter talks about philosophy for the second ofi-bachillier. he proposes the intuition, as a main fount of knowledge. a moral in which agreeing Nietzsche, have triu, the values of the god Apollo, God of the reason. in third place, the moral of the slaves, represented by values mesquino, like the submission, the sacrifice, the resistance, and the humility, he writes."
896426,https://www.youtube.com/watch?v=nfyRItpsHjg,es,facebook/bart-large-cnn,Original,2,"summarize: Good days, good today, and good nights. thanks to all for joining and for giving us. And we want to sauduos to all, but well, here we are. In this cohort of the 20-22, we have 22 languages represented in more or than 17 countries represented in this court. Some are hubs, self-organized, really active. Here we are all, but also the, but also we have in Spanish that is Occurring in this moment."
896426,https://www.youtube.com/watch?v=nfyRItpsHjg,es,facebook/bart-large-cnn,Extractive Recursive,2,"Nigeria and Indonesia are hosting the 24th edition of the UN General Assembly in New York. The event is aimed at promoting the sustainable development. Euron: The most important for my team is the union, between what the Euron, with the two other two girls that are of the team and I, that I'm in Latin America. It's try to connect from the heart and torrow. The interviews have to connect with the people that can be important in their initiative."
896426,https://www.youtube.com/watch?v=nfyRItpsHjg,es,facebook/bart-large-cnn,Recursive,2,"There are more than 1,000 participants in the ecipos. The aim is to raise awareness in the ecosystems through social art. Venezuelan artist Valentina Peralta has been working with ICOLA for two years. She has been helping to create a prototype of the island. The program is set for seven minutes, but the repen five minutes. The connection is made by resonance morphic. The first was to guide them. Then, teaching the principles of mind, heart, a theo-virto, and the theory U.S."
896426,https://www.youtube.com/watch?v=nfyRItpsHjg,es,facebook/bart-large-cnn,Extractive,3,"summarize: thanks to all for joining and for giving us. and I will be co-sustaining this session with Oto, with Maya, Stefan, Christoph, Diani, Olaf, and much more. Here we are all, but also the, but also we have in Spanish that is Occurring in this moment. So, then, we've boarded on a today of some months, that you've been designed to tole that I hope that we can tolerate it."
347557,https://youtu.be/DEnfeKgk5SY,en,facebook/bart-large-cnn,Recursive,4,The key to success in any organization's innovation strategy lies in how well they are able to nurture individual and team creativity. It is not merely about generating new ideas or coming up with a new product. It is about a systematic approach defined in nurture innovation potentials and a culture that fosters creativity. The main objective of innovation management is to find ways to address the needs of your customers in the best way possible. The goal is to keep them coming back and eventually have them become your long-term customers.
347557,https://youtu.be/DEnfeKgk5SY,en,facebook/bart-large-cnn,Extractive,3,"Innovation management is a management process for delivering successful innovations, often with a creative component. The key to success in any organization's innovation strategy lies in how well they are able to nurture individual and team creativity. The second component focuses on making sure that the generated ideas are developed into feasible products with viable business models. There are many companies that have transformed their innovation management by leveraging new technologies while others are struggling to keep up. Back to Mail Online home. Back to the page you came from."
347557,https://youtu.be/DEnfeKgk5SY,en,facebook/bart-large-cnn,Extractive Recursive,2,"Innovation management is a management process for delivering successful innovations, often with a creative component. The key to success in any organization's innovation strategy lies in how well they are able to nurture individual and team creativity. The second component focuses on making sure that the generated ideas are developed into feasible products with viable business models. There are many companies that have transformed their innovation management by leveraging new technologies while others are struggling to keep up. Back to Mail Online home. Back to the page you came from."
347557,https://youtu.be/DEnfeKgk5SY,en,facebook/bart-large-cnn,Original,4,The key to success in any organization's innovation strategy lies in how well they are able to nurture individual and team creativity. It is not merely about generating new ideas or coming up with a new product. It is about a systematic approach defined in nurture innovation potentials and a culture that fosters creativity. The main objective of innovation management is to find ways to address the needs of your customers in the best way possible. The goal is to keep them coming back and eventually have them become your long-term customers.
916766,https://youtu.be/Pasj20Ldptg?si=ra5NnAHbJtqoVx1X,es,facebook/bart-large-cnn,Extractive,1,"In this video, we'll see what we call the tensi principalles and what are the directions, and we're going to understand why is so important to change the system of reference in which express the tensors of tension. The three unit vectors, of course, are orthoanals between thee. We're going to have three directions with three values of the tensions pranes. As they are orthogonal, we can express the tensier of tension in a system of reference composed by the three directions principal."
916766,https://youtu.be/Pasj20Ldptg?si=ra5NnAHbJtqoVx1X,es,facebook/bart-large-cnn,Recursive,1,"The three tensiens principal, the three tensi principalles, the ma to the ma'amor, the sigma 1 will be the value, sigma 3 is the minor, and sigma 2, is the intermediate. The values of the invariants, here we have the expression. The third one I don't put scholarship it's the product of the three tensions main. Well, in the first case, substitutes Sigma by 60. And in the second case, we're the main direction number 2."
916766,https://youtu.be/Pasj20Ldptg?si=ra5NnAHbJtqoVx1X,es,facebook/bart-large-cnn,Extractive Recursive,1,"In this video, we'll see what we call the tensi principalles and what are the directions. We're going to understand why is so important to change the system of reference in which express the tensors of tension. And for that, we use this matrix in the tensor of tension. So, that we have the three tensions main and the three directions main. The third one I don't put scholarship it's the product. It's the product of the tension and the directions."
916766,https://youtu.be/Pasj20Ldptg?si=ra5NnAHbJtqoVx1X,es,facebook/bart-large-cnn,Original,4,"In this video, we'll see what we call the tensi principalles and what are the directions, and we're going to understand why is so important to change the system of reference in which express the tensors of tension. For this tensors of tensions, we have to get the autovalues. Those autovalues are the main tensions, sigma 1, sigma 2 and sigma 3. And also, those tendiens main, they're three vectors unitary."
86399,https://youtu.be/BmVYNjim3e8?si=dKIydC0zgesG-w1s,es,facebook/bart-large-cnn,Original,4,"The Black Jack, also known as 21, is a game of cards that arise, the theoriadores in France in the theme 17, take the 19th when the immigrants Frenches to get Luciana and New Orleans in the United States. The strategy basic to play Blackjack has foundations mathematicss and statistics. This means that, for the regular, the case tend a margin of gainance, a long-place or in money of 3% if the player does not employ the strategy basic."
86399,https://youtu.be/BmVYNjim3e8?si=dKIydC0zgesG-w1s,es,facebook/bart-large-cnn,Extractive Recursive,1,"summarize: The strategy basic time actions recommended. The Manu Dura is when, within the initials dealt, not then, for the ta to have the flexibility to play with the values of cards. For the part, after two faces told me, Osterimant, the Casa me entreged, the initial a figure and a 7, obtaining in the act 17 points. We hope that this video has been of utility. Back to Mail Online home. Back to the page you came from."
86399,https://youtu.be/BmVYNjim3e8?si=dKIydC0zgesG-w1s,es,facebook/bart-large-cnn,Extractive,2,"The Manu Dura is when, within the initials dealt, not then, for the ta to have the flexibility to play with the values of the cards. When they 5 or 6, the card is super devil, with a probability of Now, the cards fuptes of the croupier match the 7 to last, tenu, there, more than 35% of possibilities to get a manner. to continue to ask for 20 pointing us, as such and to the table."
86399,https://youtu.be/BmVYNjim3e8?si=dKIydC0zgesG-w1s,es,facebook/bart-large-cnn,Recursive,4,"The Black Jack, also known as 21, is a game of cards that arise, the theoriadores in France in the theme 17, take the 19th when the immigrants Frenches to get Luciana and New Orleans in the United States. The table is structured, the following form, and understand all the combinations that could be sa'er in a today. The Manu Dura is when, within the initials cards, we receive two equals, giving us the possibility of separating."
347557,https://www.youtube.com/watch?v=74vGtHSfCT0,es,facebook/bart-large-cnn,Recursive,3,"Cancer is a group of more than 10, infirmities, and then the concept of what happens is the same in all their, or the ce, the thread, the form of cancers. The cancer is classifi, the Te, the teiles cancerous to originate. In the cancer, when the mutatis mutandiss or errors in the one of these cells, they should be destroyed by apoptosis. But in the cancer this mechanism is harmaged, and this provokes that repliqis."
347557,https://www.youtube.com/watch?v=74vGtHSfCT0,es,facebook/bart-large-cnn,Original,1,"Cancer is a group of more than 10, infirmities, and then the concept of what happens is the same in all their, or the ce, the thread, the form of cancers. In the cancer, when the mutatis mutandiss or errors in the one of these cells, they should be destroyed by apoptosis, right? Well, yes, but in the cancer this mechanism is harmaged, and this provokes that repliqis, even when they've lost their function."
347557,https://www.youtube.com/watch?v=74vGtHSfCT0,es,facebook/bart-large-cnn,Extractive,2,"Cancer is a group of more than 10, infirmities, and then the concept of what happens is the same in all their, or the ce, the thread, the form of cancers. The cancer is classifi, the te, the teiles cancerous to originate. In the cancer, this process ordered is decontrola. And when many of these ceilas they together, they're that they're there, that are occupying a space that they're corponis."
347557,https://www.youtube.com/watch?v=74vGtHSfCT0,es,facebook/bart-large-cnn,Extractive Recursive,3,"Cancer is a group of more than 10, infirmities, and then the concept of what happens is the same in all their, or the ce, the thread, the form of cancers. The cancer is classifi, the te, the teiles cancerous to originate. In the cancer, this process ordered is decontrola. And when many of these ceilas they together, they're that they're there, that are occupying a space that they're corponis."
916766,https://www.youtube.com/watch?v=zaJ3-Esj0zE,es,facebook/bart-large-cnn,Extractive,1,"Summarize: Good days with those, as I said, I'm a student of the college of the Promotion 2009-2010. Currently, I'm in the fifth year of medicine in the Universe Catholic. The shawl that they're going to give to today is about the prevention of the abuse of substances. The dopamine is synthesized from the aminoacid essential phenylalanine. The dopamine also has a role in the specific. That expectation that we feel is by liberation dopamineric."
916766,https://www.youtube.com/watch?v=zaJ3-Esj0zE,es,facebook/bart-large-cnn,Extractive Recursive,3,"Dopamine is synthesized from the aminoacid essential phenylalanine. Dopamine also has a role in the specific mechanism specific to cocaine. The only that produces pleasure to a person with addition is the consumption of their substance. The Cerebrequird, the dopamine received, at consuming the substance, as the context of where you consume. The neuroplasticity is the capacity of the cebrepanie, to change and modifuicarce, with the paucercea."
916766,https://www.youtube.com/watch?v=zaJ3-Esj0zE,es,facebook/bart-large-cnn,Original,1,"summarize: Good days with those, as I said, I'm a student of the college of the Promotion 2009-2010. Currently, I'm in the fifth year of medicine in the Universe Catholic. The shawl that they're going to give to today is about the prevention of the abuse of substances. What I want to give basicly are knowledge about how function part of the cerebu, so that you can take decisions reported. Well, we're commencen, the system of reward."
916766,https://www.youtube.com/watch?v=zaJ3-Esj0zE,es,facebook/bart-large-cnn,Recursive,4,"Dopamine is a neurotransmitters that plays a key role in the system of reward. The brain has a mechanism to try to protect, this is the mechanism of tolerance. Cocaine has a molecular structure such, that could accoplars perfectly to this recipient, blokeying it. The brain is adapted to this new environment and beginnings to repopulate the dopamine receptors. 24 months after we can observe how their levels of dopamine have come to levels normal. Back to Mail Online home. Back to the page you came from."
347557,https://www.youtube.com/watch?v=SbFt0xVF1sQ,en,tuner007/pegasus_summarizer,Extractive Recursive,2,"Psalm 91 verses 1 and 2 says, ""For you alone, Lord, make me dwell in safety. The Lord will keep your going out and you're coming in from this time forth and forevermore."" ""My refuge and my fortress, my God, in whom I trust. Now, let's move by the gentle stream as we explore 324,"" Psalm 91 further says.nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn"
347557,https://www.youtube.com/watch?v=SbFt0xVF1sQ,en,tuner007/pegasus_summarizer,Recursive,4,"In Psalm 121, God said, ""The Lord will keep you from all evil. He'll keep your going out and you're coming in from this time forth and forevermore."" In Matthew 11: ""Come to me, all who labour and are heavy laden, and I'll give you rest. Take my yoke upon you and learn from me. For I'm gentle and lowly in heart,"" the scripture further read. ""I'm gentle...in heart,"" it added."
347557,https://www.youtube.com/watch?v=SbFt0xVF1sQ,en,tuner007/pegasus_summarizer,Original,5,"The Lord is my shepherd, I shall not want. He makes me lie down in green pastures. He leads me beside still waters. He restores my soul. Matthew 11. Come to me, all who are heavy laden, and I'll give you rest. Take my yoke upon you and learn from me, for I'm gentle and lowly in heart, and you'll find rest for your souls. In this video, we'll explore scriptures that bring serenity to your heart."
347557,https://www.youtube.com/watch?v=SbFt0xVF1sQ,en,tuner007/pegasus_summarizer,Extractive,4,"The Lord is my shepherd, I shall not want. Come to me, all who labour and are heavy laden, and I'll give you rest. Take my yoke upon you and learn from me, for I'm gentle and lowly in heart, and you'll find rest for your souls. For my yoke is easy, and my burden is light. You keep him in perfect peace, whose mind has stayed on you. The night is full of wonder, just like the promises."
395394,https://www.youtube.com/watch?v=eG21s6WvzeM,es,tuner007/pegasus_summarizer,Extractive,2,"At the left, we have the World Trade Center. A two years, the attack terrorist against him. Mike, I'll leave them when to go to an electoral college. If today, the control of Boston, identify. A man of Westardt to be the year for the section of an air, is suspicious of rob a bank and... Yeah! Don't armise noise and don't pass anything. We don't have image in the radar and no communication with him."
395394,https://www.youtube.com/watch?v=eG21s6WvzeM,es,tuner007/pegasus_summarizer,Extractive Recursive,3,"New York City Mayor Bill de Blasio has said that the World Trade Center has been ""explored"" in the wake of the attacks. ""They're trying to find the form of sallid here. The Torres, the tower...just to come down in a lube of the wind,"" he added. ""It's a fucking situation that was wrong, no dea to empea, to their moment,"" de Blasio further said. (Reporting by Anuradha Kumbhar.)"
395394,https://www.youtube.com/watch?v=eG21s6WvzeM,es,tuner007/pegasus_summarizer,Original,1,"Former US President George HW Bush has passed away at the age of 94. He is survived by his wife, Barbara Bush, and their two children, Barbara's son, George HW Bush Jr, and his daughter-in-law, Barbara Bush. George HW Bush served as the President of the United States from 1989 to 1993. He was buried in his family's plot of land near his home in Houston, Texas, on September 10, 1991.nnnnnnnnnnnnn"
395394,https://www.youtube.com/watch?v=eG21s6WvzeM,es,tuner007/pegasus_summarizer,Recursive,5,"US President George HW Bush has said that the country is ""on the path to recovery"" from the attacks on the World Trade Center in New York and the Pentagon in Washington, DC, on September 11, 2001. He added that the US is ""prepared to do whatever it takes"" to recover. Bush's comments came after a report claimed that the attacks were carried out by al-Qaeda operatives. The US has declared a state of emergency in the New York and Washington DC areas. (ANI)"
421222,https://www.youtube.com/watch?v=60go-4haeXw,es,tuner007/pegasus_summarizer,Extractive,3,"In the table periodic, the number atomic, the symbol, and the mass atomic are the symbols. Existing symbols as simple to remember, that only is the first letter of the element, but others not too, because they have an origin historical, a thii. The number atomic number of silica that have an atom is 118. The metalluides are the metalluides, that just the name, that these elements have characteristics, both of metal table as, as to metal.nnn"
421222,https://www.youtube.com/watch?v=60go-4haeXw,es,tuner007/pegasus_summarizer,Extractive Recursive,2,"summarize: The number atomic number of an element, the symbol, and the mass atomic are some of the basic elements of the table periodic table. In this lesson, we're going to classify the elements in four blocks. The elements in the four blocks are their theirs, theirs and theirs. In the table, this should be the place of the block F in the table, but now, for convenience, we better then the bottom of the table.nnnnnnnnnnn"
421222,https://www.youtube.com/watch?v=60go-4haeXw,es,tuner007/pegasus_summarizer,Recursive,5,"The number atomic number of protons that have an atom. For example, if the hydrogen has a number atomic of one, it means that they have a proton. Or if the oxygen has anumber atomic of eight, itmeans that it has eight protons in the nulus, as the simple. The table periodic has to the table periodic that some elements hadn't properties very similar to others. The table Periodic Table can be found at https://www.google.com/books?hl=en"
421222,https://www.youtube.com/watch?v=60go-4haeXw,es,tuner007/pegasus_summarizer,Original,4,"The number atomic number of protons that have an atom. For example, if the hydrogen has a number atomic of one, it means that they have a proton. Or if the oxygen has number atomic of eight, it means it has eight protons in the nulus, as the simple. And finally, atomic mass says practically, how weight the atoms of an element? This is a data super-uptial when they want to make calculations advanced.nnnnnnnnnnnnnnnnnnnnn"
